DHL47_RS11575	DHL47_RS11575
DHL47_RS02945	DHL47_RS02945
DHL47_RS13150	DHL47_RS13150
DHL47_RS04055	DHL47_RS04055
A0O21_RS00025	A0O21_RS00025
A0O21_RS02135	A0O21_RS02135
A0O21_RS04410	A0O21_RS04410
A0O21_RS06865	A0O21_RS06865
ADG87_RS10525	ADG87_RS10525
ADG87_RS03010	ADG87_RS03010
ADG87_RS11430	ADG87_RS11430
ADG87_RS08425	ADG87_RS08425
DYA22_RS07180	DYA22_RS07180
EL133_RS00565	EL133_RS00565
EL133_RS02495	EL133_RS02495
EL133_RS03705	EL133_RS03705
EL133_RS04710	EL133_RS04710
EL133_RS06405	EL133_RS06405
EL133_RS08285	EL133_RS08285
EL133_RS09720	EL133_RS09720
EL133_RS11675	EL133_RS11675
HHO37_RS07765	HHO37_RS07765
HHO37_RS10275	HHO37_RS10275
HHO37_RS02735	HHO37_RS02735
HHO37_RS05325	HHO37_RS05325
JR342_RS08200	JR342_RS08200
JR342_RS09630	JR342_RS09630
JR342_RS02010	JR342_RS02010
JR342_RS02305	JR342_RS02305
JR342_RS10715	JR342_RS10715
JR342_RS10765	JR342_RS10765
JR342_RS10800	JR342_RS10800
BN1356_RS01165	BN1356_RS01165
BN1356_RS02885	BN1356_RS02885
BN1356_RS12590	BN1356_RS12590
BN1356_RS06040	BN1356_RS06040
BN1356_RS07785	BN1356_RS07785
BN1356_RS10260	BN1356_RS10260
BN1356_RS12675	BN1356_RS12675
LJD62_RS00595	LJD62_RS00595
LJD62_RS06610	LJD62_RS06610
LJD62_RS00985	LJD62_RS00985
LJD62_RS08695	LJD62_RS08695
LJD62_RS09125	LJD62_RS09125
OU25_RS04700	OU25_RS04700
CSQ85_RS11390	CSQ85_RS11390
CSQ85_RS11945	CSQ85_RS11945
CSQ85_RS12725	CSQ85_RS12725
CSQ85_RS13015	CSQ85_RS13015
CSQ85_RS06380	CSQ85_RS06380
KTJ39_RS00405	KTJ39_RS00405
KTJ39_RS01495	KTJ39_RS01495
KTJ39_RS03720	KTJ39_RS03720
KTJ39_RS09090	KTJ39_RS09090
